GUID,SelectedMaterial,SelectedScore,SelectedOn,SelectedBy,Material KBOB,AI Score
0yl3zd2P97SRMlpiuEwzWd,,,2026-02-09T07:37:16.804912+00:00,,Tiefgründung Ortbetonbohrpfahl 900,0.7126286625862122
1EApUHBmr068wDDXX6eJu2,,,2026-02-09T07:37:16.804912+00:00,,Tiefgründung Ortbetonbohrpfahl 900,0.6469063758850098
2PSU_IosP2xOZbGiL_ucjn,,,2026-02-09T07:37:16.804912+00:00,,Tiefgründung Ortbetonbohrpfahl 700,0.6509770750999451
2EDe7PfkX6JeBTA1zvECPk,,,2026-02-09T07:37:16.804912+00:00,,Tiefgründung Ortbetonbohrpfahl 700,0.6509770750999451
1CPFlUbuXD1PMymkbHV5_d,,,2026-02-09T07:37:16.804912+00:00,,Tiefgründung Ortbetonbohrpfahl 700,0.6509770750999451
03mdk8o89FVQt95AxvUtOx,,,2026-02-09T07:37:16.804912+00:00,,Tiefgründung Ortbetonbohrpfahl 700,0.6509770750999451
